index,id,sg_uf,nm_meso_regiao,nm_micro_regiao,setor,nm_divisao,de_faixa_faturamento_estimado,vl_faturamento_estimado_aux,de_nivel_atividade,idade_emp_cat,de_saude_tributaria,de_saude_rescencia,fl_optante_simples,fl_optante_simei,fl_simples_irregular,fl_passivel_iss,fl_me,fl_sa,fl_epp,fl_mei,fl_ltda,fl_spa,fl_st_especial,fl_email,fl_telefone,fl_rm,fl_antt,fl_veiculo,vl_total_veiculos_pesados_grupo,vl_total_veiculos_leves_grupo,fl_matriz,qt_filiais,lat,lng
2333,139171,AM,CENTRO AMAZONENSE,MANAUS,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,10 a 15,AMARELO,ACIMA DE 1 ANO,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0.0,1,0,-3.4079143324329624,-59.8661312808591
2334,343054,AM,CENTRO AMAZONENSE,MANAUS,COMERCIO,COMERCIO VAREJISTA,"DE R$ 81.000,01 A R$ 360.000,00",210000.0,MEDIA,10 a 15,AMARELO,ACIMA DE 1 ANO,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0.0,1,0,-3.4079143324329624,-59.8661312808591
2335,375197,RN,LESTE POTIGUAR,NATAL,COMERCIO,COMERCIO VAREJISTA,"DE R$ 360.000,01 A R$ 1.500.000,00",1112745.6,ALTA,15 a 20,AZUL,ACIMA DE 1 ANO,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.0,1.0,1,1,-5.692452127652593,-35.26688320588548
2336,11305,RN,LESTE POTIGUAR,NATAL,COMERCIO,COMERCIO VAREJISTA,"DE R$ 360.000,01 A R$ 1.500.000,00",1112745.6,ALTA,15 a 20,AZUL,ACIMA DE 1 ANO,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,1,0.0,1.0,1,0,-5.692452127652593,-35.26688320588548
2337,332873,RN,LESTE POTIGUAR,NATAL,COMERCIO,COMERCIO VAREJISTA,"DE R$ 360.000,01 A R$ 1.500.000,00",1298203.2,ALTA,5 a 10,AZUL,ACIMA DE 1 ANO,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.0,1.0,1,1,-5.692452127652593,-35.26688320588548
2338,113636,RN,LESTE POTIGUAR,NATAL,COMERCIO,COMERCIO VAREJISTA,"DE R$ 360.000,01 A R$ 1.500.000,00",865468.8,ALTA,15 a 20,AZUL,ACIMA DE 1 ANO,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.0,1.0,1,0,-5.692452127652593,-35.26688320588548
2339,77636,RN,LESTE POTIGUAR,NATAL,COMERCIO,COMERCIO VAREJISTA,"DE R$ 360.000,01 A R$ 1.500.000,00",1112745.6,ALTA,15 a 20,AZUL,ACIMA DE 1 ANO,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0.0,0.0,1,2,-5.692452127652593,-35.26688320588548
2340,315078,MA,NORTE MARANHENSE,BAIXADA MARANHENSE,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,MEDIA,5 a 10,VERDE,ACIMA DE 1 ANO,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0.0,1.0,1,0,-3.2086873356073413,-45.08745706048823
2341,323077,MA,NORTE MARANHENSE,BAIXADA MARANHENSE,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,MEDIA,5 a 10,VERDE,ACIMA DE 1 ANO,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0.0,0.0,1,0,-3.2086873356073413,-45.08745706048823
2342,326358,MA,NORTE MARANHENSE,BAIXADA MARANHENSE,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,MEDIA,5 a 10,VERDE,ACIMA DE 1 ANO,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,1,0,-3.2086873356073413,-45.08745706048823
2343,131979,MA,NORTE MARANHENSE,BAIXADA MARANHENSE,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,MEDIA,5 a 10,VERDE,ACIMA DE 1 ANO,1,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0.0,0.0,1,0,-3.2086873356073413,-45.08745706048823
2344,360634,MA,NORTE MARANHENSE,BAIXADA MARANHENSE,COMERCIO,COMERCIO VAREJISTA,"ATE R$ 81.000,00",50000.0,MEDIA,5 a 10,VERDE,ACIMA DE 1 ANO,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0.0,0.0,1,0,-3.2086873356073413,-45.08745706048823
2345,55483,PI,CENTRO NORTE PIAUIENSE,TERESINA,COMERCIO,COMERCIO VAREJISTA,SEM INFORMACAO,0.0,ALTA,<= 1,VERDE,ACIMA DE 1 ANO,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0.0,0.0,0,1,-5.093218676411015,-42.69862666885265
